pin,primary_function,selected_function,final_net,electrical_type,supply_domain,default_pull,test_point,source_evidence
1,CVBS1,CVBS1,AMT_CVBS1,bidirectional,analog-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
31,R7,R7,LCD_R7,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
32,G0,G0,LCD_G0,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
33,G1,G1,LCD_G1,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
34,G2,G2,LCD_G2,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
35,G3,G3,LCD_G3,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
36,G4,G4,LCD_G4,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
37,G5,G5,LCD_G5,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
38,G6,G6,LCD_G6,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
39,G7,G7,LCD_G7,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
40,DVDD,DVDD,DISPLAY_3V3_D,power,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
41,VDD_CORE_OUT,VDD_CORE_OUT,AMT_CORE3,power,core-1v2-output,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
42,GND,GND,GND,power,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
43,B0,B0,LCD_B0,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
44,B1,B1,LCD_B1,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
45,B2,B2,LCD_B2,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
46,B3,B3,LCD_B3,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
47,B4,B4,LCD_B4,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
48,B5,B5,LCD_B5,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
49,B6,B6,LCD_B6,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
50,B7,B7,LCD_B7,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
51,DCLK,DCLK,LCD_DCLK_SRC,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
52,DE,DE,LCD_DE,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
53,HSYNC,HSYNC,LCD_HSYNC,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
54,VSYNC,VSYNC,LCD_VSYNC,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
55,PWM0,PWM0,TP_AMT_PWM0,bidirectional,digital-3v3,none,yes,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
56,PWM1,PWM1,TP_AMT_PWM1,bidirectional,digital-3v3,none,yes,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
57,UART0,UART0,TP_AMT_UART0,bidirectional,digital-3v3,none,yes,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
58,UART1,UART1,TP_AMT_UART1,bidirectional,digital-3v3,none,yes,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
59,DIAGNOSTIC,DIAGNOSTIC,TP_AMT_DIAG,bidirectional,digital-3v3,none,yes,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
60,SDA,SDA,I2C_SDA,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
61,SCL,SCL,I2C_SCL,bidirectional,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
62,DVDD,DVDD,DISPLAY_3V3_D,power,digital-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
63,RESET,RESET,AMT_RESET,bidirectional,digital-3v3,100k high,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
64,AVDD_ADC,AVDD_ADC,DISPLAY_3V3_A,power,analog-3v3,none,no,AMT630A_Spec_V1.2.pdf pp.6-9; C9900018923 CAD; public AMT630A pin reference; KiCad U14
