Designator,Value,Manufacturer,MPN,LCSC,Package,Qty,DNP,Notes
U1,ESP32-S3-MINI-1U-N8,Espressif,ESP32-S3-MINI-1U-N8,C2980299,ESP32-S3-MINI-1U,1,no,
J2,USB-C,GCT,USB4105-GF-A,C3020560,USB4105-GF-A,1,no,
ESD1,USB ESD,Texas Instruments,TPD2EUSB30DRTR,C97502,SOT-9X3-3,1,no,
F1,USB VBUS resettable fuse,Littelfuse,1206L200PR,C151163,1206,1,no,
TVS1,USB VBUS TVS,onsemi,ESD5Z5.0T1G,C82044,SOD-523,1,no,
U2,1S charger/power path,Texas Instruments,BQ25895RTWR,C80200,WQFN-24-EP,1,no,
U3,1S protector,Texas Instruments,BQ29700DSER,C183096,WSON-6,1,no,
Q1,dual protection FET,FUXINSEMI,FS8205A,C908265,SOT-23-6,1,no,
U4,fuel gauge,Analog Devices,MAX17048G+T10,C2682616,TDFN-8-EP,1,no,
U20,master load switch,Texas Instruments,TPS22992SRXNR,C3229354,WQFN-8,1,no,
U5,3V3 buck-boost,Texas Instruments,TPS63070RNMR,C109322,VQFN-15,1,no,
U6,5V boost,Texas Instruments,TPS61088RHLR,C87357,VQFN-20-EP,1,no,
U7,5V_VIDEO load switch,Texas Instruments,TPS22918DBVR,C131941,SOT-23-6,1,no,
U8,5V_DISPLAY load switch,Texas Instruments,TPS22918DBVR,C131941,SOT-23-6,1,no,
U9,5V_ELRS load switch,Texas Instruments,TPS22918DBVR,C131941,SOT-23-6,1,no,
U10,display 3V3 buck,Texas Instruments,TPS62162DSGR,C40256,WSON-8-EP,1,no,
MOD1,RX5808 SPI receiver,WREKD,RX5808 SPI-modified,C2908157,SMD-12_23.0X28.0X2.54P,1,no,pre-order or consigned
U11,analog OSD,Zhongkewei,AT7456E,C82351,TSSOP-28-EP,1,no,
U12,OSD 3V3-to-5V,Texas Instruments,SN74AHCT125PWR,C36365,TSSOP-14,1,no,
U13,OSD 5V-to-3V3,Texas Instruments,SN74LVC1T45DCKR,C9382,SC70-6,1,no,
